Date,Week
2018-09-04,Week 1
2018-09-05,Week 1
2018-09-06,Week 1
2018-09-07,Week 1
2018-09-08,Week 1
2018-09-09,Week 1
2018-09-10,Week 1
2018-09-11,Week 2
2018-09-12,Week 2
2018-09-13,Week 2
2018-09-14,Week 2
2018-09-15,Week 2
2018-09-16,Week 2
2018-09-17,Week 2
2018-09-18,Week 3
2018-09-19,Week 3
2018-09-20,Week 3
2018-09-21,Week 3
2018-09-22,Week 3
2018-09-23,Week 3
2018-09-24,Week 3
2018-09-25,Week 4
2018-09-26,Week 4
2018-09-27,Week 4
2018-09-28,Week 4
2018-09-29,Week 4
2018-09-30,Week 4
2018-10-01,Week 4
2018-10-02,Week 5
2018-10-03,Week 5
2018-10-04,Week 5
2018-10-05,Week 5
2018-10-06,Week 5
2018-10-07,Week 5
2018-10-08,Week 5
2018-10-09,Week 6
2018-10-10,Week 6
2018-10-11,Week 6
2018-10-12,Week 6
2018-10-13,Week 6
2018-10-14,Week 6
2018-10-15,Week 6
2018-10-16,Week 7
2018-10-17,Week 7
2018-10-18,Week 7
2018-10-19,Week 7
2018-10-20,Week 7
2018-10-21,Week 7
2018-10-22,Week 7
2018-10-23,Week 8
2018-10-24,Week 8
2018-10-25,Week 8
2018-10-26,Week 8
2018-10-27,Week 8
2018-10-28,Week 8
2018-10-29,Week 8
2018-10-30,Week 9
2018-10-31,Week 9
2018-11-01,Week 9
2018-11-02,Week 9
2018-11-03,Week 9
2018-11-04,Week 9
2018-11-05,Week 9
2018-11-06,Week 10
2018-11-07,Week 10
2018-11-08,Week 10
2018-11-09,Week 10
2018-11-10,Week 10
2018-11-11,Week 10
2018-11-12,Week 10
2018-11-13,Week 11
2018-11-14,Week 11
2018-11-15,Week 11
2018-11-16,Week 11
2018-11-17,Week 11
2018-11-18,Week 11
2018-11-19,Week 11
2018-11-20,Week 12
2018-11-21,Week 12
2018-11-22,Week 12
2018-11-23,Week 12
2018-11-24,Week 12
2018-11-25,Week 12
2018-11-26,Week 12
2018-11-27,Week 13
2018-11-28,Week 13
2018-11-29,Week 13
2018-11-30,Week 13
2018-12-01,Week 13
2018-12-02,Week 13
2018-12-03,Week 13
2018-12-04,Week 14
2018-12-05,Week 14
2018-12-06,Week 14
2018-12-07,Week 14
2018-12-08,Week 14
2018-12-09,Week 14
2018-12-10,Week 14
2018-12-11,Week 15
2018-12-12,Week 15
2018-12-13,Week 15
2018-12-14,Week 15
2018-12-15,Week 15
2018-12-16,Week 15
2018-12-17,Week 15
2018-12-18,Week 16
2018-12-19,Week 16
2018-12-20,Week 16
2018-12-21,Week 16
2018-12-22,Week 16
2018-12-23,Week 16
2018-12-24,Week 16
2018-12-25,Week 17
2018-12-26,Week 17
2018-12-27,Week 17
2018-12-28,Week 17
2018-12-29,Week 17
2018-12-30,Week 17
2018-12-31,Week 17
