GSIS_ID,PLAYER,TEAM,POS
00-0029668,Andrew Luck,IND,QB
00-0033936,C.J. Beathard,SF,QB
00-0026158,Joe Flacco,BAL,QB
00-0023459,Aaron Rodgers,GB,QB
00-0029604,Kirk Cousins,MIN,QB
00-0027939,Cam Newton,CAR,QB
00-0032241,Todd Gurley,LA,RB
00-0022924,Ben Roethlisberger,PIT,QB
00-0033537,Deshaun Watson,HOU,QB
00-0033906,Alvin Kamara,NO,RB
00-0031407,Blake Bortles,JAX,QB
00-0029567,Nick Foles,PHI,QB
00-0032950,Carson Wentz,PHI,QB
00-0033045,Ezekiel Elliott,DAL,RB
00-0026143,Matt Ryan,ATL,QB
00-0034855,Baker Mayfield,CLE,QB
00-0034844,Saquon Barkley,NYG,RB
00-0033280,Christian McCaffrey,CAR,RB
00-0033873,Patrick Mahomes,KC,QB
00-0033553,James Conner,PIT,RB
00-0032144,Melvin Gordon,LAC,RB
00-0023436,Alex Smith,WAS,QB
00-0033869,Mitchell Trubisky,CHI,QB
00-0028986,Case Keenum,DEN,QB
00-0033897,Joe Mixon,CIN,RB
00-0023682,Ryan Fitzpatrick,TB,QB
00-0027973,Andy Dalton,CIN,QB
00-0026498,Matthew Stafford,DET,QB
00-0030035,Adam Thielen,MIN,WR
00-0022803,Eli Manning,NYG,QB
00-0031280,Derek Carr,OAK,QB
00-0020531,Drew Brees,NO,QB
00-0019596,Tom Brady,NE,QB
00-0027944,Julio Jones,ATL,WR
00-0028118,Tyrod Taylor,CLE,QB
00-0031503,Jameis Winston,TB,QB
00-0033077,Dak Prescott,DAL,QB
00-0027793,Antonio Brown,PIT,WR
00-0032187,David Johnson,ARI,RB
00-0031235,Odell Beckham,NYG,WR
00-0033106,Jared Goff,LA,QB
00-0031045,Carlos Hyde,CLE,RB
00-0031345,Jimmy Garoppolo,SF,QB
00-0033923,Kareem Hunt,KC,RB
00-0030564,DeAndre Hopkins,HOU,WR
00-0022942,Philip Rivers,LAC,QB
00-0034857,Josh Allen,BUF,QB
00-0031381,Davante Adams,GB,WR
00-0034869,Sam Darnold,NYJ,QB
00-0034845,Sony Michel,NE,RB
00-0027966,Mark Ingram,NO,RB
00-0032209,T.J. Yeldon,JAX,RB
00-0031382,Jarvis Landry,CLE,WR
00-0025399,Marshawn Lynch,OAK,RB
00-0029263,Russell Wilson,SEA,QB
00-0032780,Jordan Howard,CHI,RB
00-0032268,Marcus Mariota,TEN,QB
00-0030061,Zach Ertz,PHI,TE
00-0033857,JuJu Smith-Schuster,PIT,WR
00-0031588,Stefon Diggs,MIN,WR
00-0033040,Tyreek Hill,KC,WR
00-0029701,Ryan Tannehill,MIA,QB
00-0029615,Lamar Miller,HOU,RB
00-0031062,James White,NE,RB
00-0025394,Adrian Peterson,WAS,RB
00-0029137,Alshon Jeffery,PHI,WR
00-0033594,Chris Carson,SEA,RB
00-0027029,LeSean McCoy,BUF,RB
00-0027891,Golden Tate,DET,WR
00-0031408,Mike Evans,TB,WR
00-0031051,John Brown,BAL,WR
00-0027942,A.J. Green,CIN,WR
00-0030404,Chris Thompson,WAS,RB
00-0033893,Dalvin Cook,MIN,RB
00-0029608,T.Y. Hilton,IND,WR
00-0030431,Robert Woods,LA,WR
00-0028064,Bilal Powell,NYJ,RB
00-0032765,Michael Thomas,NO,WR
00-0026986,Michael Crabtree,BAL,WR
00-0030506,Travis Kelce,KC,TE
00-0027685,Emmanuel Sanders,DEN,WR
00-0028087,Dion Lewis,TEN,RB
00-0027854,Sam Bradford,ARI,QB
00-0033118,Kenyan Drake,MIA,RB
00-0032426,Alex Collins,BAL,RB
00-0031387,Eric Ebron,IND,TE
00-0030456,Giovani Bernard,CIN,RB
00-0029682,Brock Osweiler,MIA,QB
00-0034366,Keke Coutee,HOU,WR
00-0034273,Damion Ratley,CLE,WR
00-0033009,Tyler Boyd,CIN,WR
00-0030279,Keenan Allen,LAC,WR
00-0032058,Tevin Coleman,ATL,RB
00-0033932,Kenny Golladay,DET,WR
00-0032741,Peyton Barber,TB,RB
00-0028002,Randall Cobb,GB,WR
00-0034367,Nyheim Hines,IND,RB
00-0031236,Brandin Cooks,LA,WR
00-0033871,Corey Davis,TEN,WR
00-0029141,Alfred Morris,SF,RB
00-0023564,Darren Sproles,PHI,RB
00-0034343,Josh Rosen,ARI,QB
00-0031549,Nelson Agholor,PHI,WR
00-0031428,Allen Robinson,CHI,WR
00-0034109,Phillip Lindsay,DEN,RB
00-0033556,Tarik Cohen,CHI,RB
00-0033948,Jamaal Williams,GB,RB
00-0027150,Julian Edelman,NE,WR
00-0032626,Geronimo Allison,GB,WR
00-0033725,Corey Clement,PHI,RB
00-0032055,Devin Funchess,CAR,WR
00-0030656,Isaiah Crowell,NYJ,RB
00-0034349,Kerryon Johnson,DET,RB
00-0031228,Taylor Gabriel,CHI,WR
00-0034772,Antonio Callaway,CLE,WR
00-0033308,Matt Breida,SF,RB
00-0026189,DeSean Jackson,TB,WR
00-0029293,Marvin Jones,DET,WR
00-0033951,Marlon Mack,IND,RB
00-0033885,David Njoku,CLE,TE
00-0031339,Donte Moncrief,JAX,WR
00-0031577,Javorius Allen,BAL,RB
00-0027874,Demaryius Thomas,DEN,WR
00-0031590,Jay Ajayi,PHI,RB
00-0032764,Derrick Henry,TEN,RB
00-0031075,Alfred Blue,HOU,RB
00-0027696,Jimmy Graham,GB,TE
00-0033908,Cooper Kupp,LA,WR
00-0032411,Kenneth Dixon,BAL,RB
00-0030663,Willie Snead,BAL,WR
00-0031023,Quincy Enunwa,NYJ,WR
00-0033856,Leonard Fournette,JAX,RB
00-0032385,Sterling Shepard,NYG,WR
00-0030181,Jack Doyle,IND,TE
00-0033127,Will Fuller,HOU,WR
00-0033288,George Kittle,SF,TE
00-0027061,Jared Cook,OAK,TE
00-0030513,Latavius Murray,MIN,RB
00-0026345,Pierre Garcon,SF,WR
00-0031285,Devonta Freeman,ATL,RB
00-0025396,Ted Ginn,NO,WR
00-0033681,Keelan Cole,JAX,WR
00-0032355,Chester Rogers,IND,WR
00-0024389,Delanie Walker,TEN,TE
00-0032362,Maurice Harris,WAS,WR
00-0033921,Chris Godwin,TB,WR
00-0034400,Jordan Wilkins,IND,RB
00-0023500,Frank Gore,MIA,RB
00-0032782,Wendell Smallwood,PHI,RB
00-0032063,Mike Davis,SEA,RB
00-0032208,Phillip Dorsett,NE,WR
00-0027656,Rob Gronkowski,NE,TE
00-0030288,Rex Burkhead,NE,RB
00-0033839,Dede Westbrook,JAX,WR
00-0033699,Austin Ekeler,LAC,RB
00-0034838,Royce Freeman,DEN,RB
00-0031068,Ryan Grant,IND,WR
00-0033025,Jalen Richard,OAK,RB
00-0031359,Kelvin Benjamin,BUF,WR
00-0030472,Jordan Reed,WAS,TE
00-0022921,Larry Fitzgerald,ARI,WR
00-0030107,Theo Riddick,DET,RB
00-0032211,Tyler Lockett,SEA,WR
00-0032392,Austin Hooper,ATL,TE
00-0034279,Equanimeous St. Brown,GB,WR
00-0033293,Aaron Jones,GB,RB
00-0030669,Albert Wilson,MIA,WR
00-0033958,Nathan Peterman,BUF,QB
00-0029000,Cole Beasley,DAL,WR
00-0031325,Sammy Watkins,KC,WR
00-0027325,LeGarrette Blount,DET,RB
00-0034750,Rashaad Penny,SEA,RB
00-0029632,Mohamed Sanu,ATL,WR
00-0031544,Amari Cooper,OAK,WR
00-0027531,Chris Ivory,BUF,RB
00-0034837,Calvin Ridley,ATL,WR
00-0034184,Gus Edwards,BAL,RB
00-0031941,Jamison Crowder,WAS,WR
00-0034348,Courtland Sutton,DEN,WR
00-0033611,Ricky Seals-Jones,ARI,TE
00-0029159,Jermaine Kearse,NYJ,WR
00-0031959,Marcus Murphy,BUF,RB
00-0030085,Kenny Stills,MIA,WR
00-0027948,Blaine Gabbert,TEN,QB
00-0034775,Christian Kirk,ARI,WR
00-0032200,Ty Montgomery,GB,RB
00-0031257,Paul Richardson,WAS,WR
00-0033536,Mike Williams,LAC,WR
00-0026176,Jordy Nelson,OAK,WR
00-0033891,Zay Jones,BUF,WR
00-0032257,Duke Johnson,CLE,RB
00-0029664,Josh Gordon,NE,WR
00-0032688,Robby Anderson,NYJ,WR
00-0031373,Martavis Bryant,OAK,WR
00-0034816,Ronald Jones,TB,RB
00-0026035,Danny Amendola,MIA,WR
00-0032760,Josh Doctson,WAS,WR
00-0030549,Tyler Eifert,CIN,TE
00-0027981,Kyle Rudolph,MIN,TE
00-0033251,Zach Pascal,IND,WR
00-0032977,Rashard Higgins,CLE,WR
00-0033282,Curtis Samuel,CAR,WR
00-0027996,Torrey Smith,CAR,WR
00-0030710,Trey Burton,CHI,TE
00-0032160,Tyrell Williams,LAC,WR
00-0030470,Vance McDonald,PIT,TE
00-0028434,Doug Baldwin,SEA,WR
00-0033911,Taywan Taylor,TEN,WR
00-0034258,Derrick Willies,CLE,WR
00-0033879,O.J. Howard,TB,TE
00-0034378,Ito Smith,ATL,RB
00-0032951,Laquon Treadwell,MIN,WR
00-0025418,Greg Olsen,CAR,TE
00-0026213,Jamaal Charles,JAX,RB
00-0022943,Benjamin Watson,NO,TE
00-0032009,Adam Humphries,TB,WR
00-0029269,Travis Benjamin,LAC,WR
00-0033292,Trent Taylor,SF,WR
00-0033306,Victor Bolden,SF,WR
00-0033460,John Ross,CIN,WR
00-0029572,Jarius Wright,CAR,WR
00-0033564,Jake Butt,DEN,TE
00-0030108,Ryan Griffin,HOU,TE
00-0031166,Seth Roberts,OAK,WR
00-0031326,Bruce Ellington,HOU,WR
00-0024334,Brandon Marshall,SEA,WR
00-0028237,Chris Hogan,NE,WR
00-0032972,Devontae Booker,DEN,RB
00-0030821,Allen Hurns,DAL,WR
00-0028825,Terrelle Pryor,NYJ,WR
00-0032227,Jeff Heuerman,DEN,TE
00-0033881,Evan Engram,NYG,TE
00-0034353,Anthony Miller,CHI,WR
00-0034365,Ian Thomas,CAR,TE
00-0029892,Kyle Juszczyk,SF,FB
