time,x,y,s,dis,dir,event,displayName
2017-09-08T02:43:43Z,85.1,35.73,0.01,0,197.16,NA,Tyreek Hill
2017-09-08T02:43:43Z,85.1,35.73,0.01,0,196.28,NA,Tyreek Hill
2017-09-08T02:43:43Z,85.1,35.73,0.01,0,197.03,NA,Tyreek Hill
2017-09-08T02:43:43Z,85.1,35.73,0.01,0,198.43,NA,Tyreek Hill
2017-09-08T02:43:43Z,85.1,35.72,0.01,0,202.37,NA,Tyreek Hill
2017-09-08T02:43:43Z,85.09,35.72,0.01,0,207.63,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.01,0,224.59,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.01,0,242.52,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.01,0,258.61,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.03,0,271.96,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.14,0,278.61,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.44,0,279.56,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,0.8,0,279.7,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,1.14,0,279.94,NA,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,1.44,0,279.88,ball_snap,Tyreek Hill
2017-09-08T02:43:44Z,85.09,35.72,1.76,0,280.03,NA,Tyreek Hill
2017-09-08T02:43:45Z,85.08,35.72,2.09,0.01,280.26,NA,Tyreek Hill
2017-09-08T02:43:45Z,85.07,35.72,2.43,0.01,280.75,NA,Tyreek Hill
2017-09-08T02:43:45Z,85.04,35.73,2.78,0.03,281,NA,Tyreek Hill
2017-09-08T02:43:45Z,84.84,35.77,3.15,0.2,281.64,NA,Tyreek Hill
2017-09-08T02:43:45Z,84.32,35.86,3.52,0.53,282.27,NA,Tyreek Hill
2017-09-08T02:43:45Z,83.68,35.97,3.93,0.64,283.41,NA,Tyreek Hill
2017-09-08T02:43:45Z,83.08,36.08,4.33,0.62,284.21,NA,Tyreek Hill
2017-09-08T02:43:45Z,82.54,36.17,4.74,0.55,285.19,NA,Tyreek Hill
2017-09-08T02:43:45Z,81.97,36.28,5.15,0.58,286.7,NA,Tyreek Hill
2017-09-08T02:43:45Z,81.4,36.39,5.57,0.58,288.04,NA,Tyreek Hill
2017-09-08T02:43:46Z,80.79,36.54,5.99,0.63,289.44,NA,Tyreek Hill
2017-09-08T02:43:46Z,80.19,36.67,6.4,0.62,290.73,NA,Tyreek Hill
2017-09-08T02:43:46Z,79.54,36.86,6.72,0.67,292.2,NA,Tyreek Hill
2017-09-08T02:43:46Z,78.89,37.07,6.89,0.68,293.94,NA,Tyreek Hill
2017-09-08T02:43:46Z,78.22,37.36,7.01,0.74,295.73,NA,Tyreek Hill
2017-09-08T02:43:46Z,77.54,37.63,7.15,0.73,297.28,NA,Tyreek Hill
2017-09-08T02:43:46Z,76.85,37.96,7.35,0.76,298.6,NA,Tyreek Hill
2017-09-08T02:43:46Z,76.2,38.39,7.53,0.78,299.72,NA,Tyreek Hill
